penulis,judul,tahun,deskripsi,tautan,kata_kunci
achmad mujammil,klasifikasi penyakit stroke menggunakan algoritma knn dengan optimasi teknik bagging,2023,"Stroke merupakan suatu penyakit yang sangat serius dalam bidang
kedokteran,dikarnakan dampak penyakit ini sangatlah fatal,karna dapat menyerang
secara fisik dan mental dan lebih parahnya lagi hingga dapat menyebabkan
kematian secara mendadak, penanggulan Stroke ini perlu di tangani secara cepat dan
tanggap karna dapat merusak pada inti otak sehingga kemungkinan dapat
menimbulkan komplikasi,Pada penetian ini peneliti ingin mebuktikan bahwa dalam
menentukan seseorang terjangkit penyakit stroke menggunakan algoritma
klasifikasi K-Nearest Neighbor dengan optimasi Bagging ini bisa digunakan,dari
prediksi tersebut dapat membantu untuk mempermudah pada bidang kesehatan
dalam menentukan atau mengambil keputusan dengan cepat,dari hasil yang di
dapatkan dari klasifikasi tersebut di dapatkan hasil Nilai akurasi, presisi dan recall
yang tertinggi pada Algoritma K-Nearest Neighbor dengan optimasi bagging
terdapat pada K-5 dengan nilai akurasi sebesar 99.93%, presisi sebesar 100.00% dan
recall sebesar 98.25%. dari hasil pengujian, diketahui hasil nilai sebelum di
optimasi sudah cukup tinggi walaupun tanpa di lakukan optimasi bagging.",https://drive.google.com/file/d/1SEQiDyUrhPkEokILU6-w2EVTSrRSGSAp/view?usp=sharing,"classification, bagging, k-nearest neighbor (knn)."
mohamad haris aditya,penerapan support vektor machine (svm) untuk klasifikasi sentimen aplikasi my pertamina pada google play store.,2023,"PT Pertamina adalah perusahaan yang membuat dan menyupali bahan bakar
bagi masyarakat di indonesia dimana PT Pertamina mengajak agar masyarakat
untuk menggunakan e-payment dari aplikasi my pertamina. Aplikasi my pertamina
adalah salah satu aplikasi yang di luncurkan dalam rangka program digitalisasi
stasiun pengisian bahan bakar umum (SPBU) dimana bisa didapatkan dalam
aplikasi market yaitu google playstore. Aplikasi my pertamina juga dipertanyakan
keamanan nya oleh masyarakat karena larangan menggunakan handpone di area
SPBU tetapi anjuran untuk menggunakan aplikasi my pertamina saat membeli
BBM. Sentimen analisis adalah Teknik dimana mengextrak sebuah data yang
berbentuk teks yang digunakan untuk memperoleh sebuah informasi tentang
bernilai positif dan negatif. Dalam penelitian ini hanya dilakukan pada komentar
masyarakat terhadap permasalahan yang ada di aplikasi my pertamina melalui
komentar yang di peroleh dari google playstore. Untuk selanjut nya data tersebut
akan diproses menggunakan metode support vector machine dengan extrasi fitur
TF-IDF. Dari Penelitian tentang sentimen analisis ini untuk menemukan hasil akhir
dari penelitian ini didapat kan akurasi sebesar 76%, presisi 83% dan recall nuya
sebesar 49%. Penelitian analisis sentimen ini, tanggapan masyarakat tentang
aplikasi MY Pertamina ini sangat lah negatif dilihat dari hasil jumlah pelabellan
tanggapan tersebut.",https://drive.google.com/file/d/1rpQ7Zpy50gfL2IuwhRjlFGphQch79h1L/view,"akurasi, sentimen analisis, support vector machine, google Play store. Akurasi, Presisi, Recall."
anan afandi,arsitektur microservice untuk resiliensi sistem web service e-commerce,2023,"Aplikasi yang dikembangkan saat ini adalah struktur tunggal. Setelah bertahun-
tahun dikembangkan, telah menjadi sangat besar dan kompleks. Pada tahap selanjutnya,
sistem sudah lama tidak diperbarui. Akumulasi teknologi telah menyebabkan struktur
yang kompleks dan tidak terorganisir yang membuat produk tidak dapat digunakan.
Dipelihara dengan usaha yang wajar. Dalam kajian struktur arsip, resiliensi sering kali
dipandang sebagai persyaratan non-praktis yang dapat dilihat pada faktor-faktor seperti
skalabilitas, reliabilitas, perawatan, dan ketersediaan.
Penelitian ini bertujuan untuk mengetahui performansi sistem e-commerce
ditinjau dari performa throughput, response time, dan penggunaan CPU pada arsitektur
microservices untuk mengatasi ketangguhan trafik yang tidak dinamis saat e-commerce
menggunakan sistem monolitik.
Perkembangan ini penting untuk memahami respons yang diterima saat membuat
sistem e-commerce. Pada integrasi ini, penulis menggunakan Apache JMeter sebagai
metode pengujian kinerja, dan menggunakan Postman sebagai pengujian API untuk
arsitektur microservice e-commerce.
Berdasarkan penelitian ini dapat disimpulkan bahwa pembuatan model desain
menggunakan arsitektur microservices memerlukan pengujian mendalam pembuatan
API, karena API service merupakan bagian penting dari microservices. Studi ini
melakukan pengujian e-commerce terhadap layanan mikro. Pengujian dilakukan
dimulai dengan 500, 2500, 4500, 6500, 8500, dan 10.000 sampel. Pada sampel data
10.000, throughput 163,4/detik, waktu respons 65346 ms, dan penggunaan CPU 30%.
Pengujian performa tersebut dapat disimpulkan menggunakan microservice lebih
unggul secara ketahanan sistem e-commerce dibandingkan sistem arsitektur monolitik.",https://drive.google.com/file/d/1skTn5_mnzLyQf3uUTmzoKq_k8_s8TX-1/view?usp=sharing,"arsitektur microservices, e-commerce."
abdul rahman,implementasi nondeterministic finite-state machine pada npc (non-playable character) game akasha’s retaliare,2023,"Game adalah interaksi manusia-komputer yang dapat dimainkan oleh satu orang atau banyak orang. Game dapat meningkatkan kapasitas memori visuospatial diantaranya, multiple object tracking, mental rotation, dan change detection. (Boot, et al. 2008). Player versus environment, adalah jenis permainan dimana pemain fokus mengalahkan non-playable character (NPC) atau musuh. Dalam penelitian ini, Nondeterministic finite-state machine digunakan untuk membuat keputusan terhadap
aksi dan reaksi pemain untuk mencegah kemenangan. NDFSM akan berfungsi dengan
optimal untuk masalah-masalah non-linear. Sehingga dapat mengembangkan NPC
yang dapat melakukan aksi-reaksi kombinasi yang sulit ditebak dari tindakan yang
dilakukan oleh pemain. Model kualitas ISO/IEC 25010 digunakan dalam melakukan
pengukuran kualitas game Akasha’s Retaliare dengan menggunakan karakteristik dan
sub karakteristik pada model kualitas tersebut. Dari hasil pengujian state transition, NPC game Akasha’s Retaliare berhasil melalui setiap transisi state. Perilaku NPC
menjadi dinamis dan tidak dapat diprediksi yang mengakibatkan gaya bermain akan
bervariasi. Dan dari evaluasi karakteristik kualitas ISO/IEC 25010 dinyatakan bahwa
game Akasha’s Retaliare “Sangat Layak” digunakan. Dengan persentase nilai evaluasi
86,17% dan nilai rata-rata 4,3 dari skala Likert. Kata kunci: Akasha’s Retaliare, Finite-state.",https://drive.google.com/file/d/1ISt_YvY-ifvkMh7-aPToCxO6Y9Eo8JOw/view?usp=sharing,"retaliare, finite-state machine, game, non-deterministic."
alif syadillah aji,"penerapan metode single exponential smothing dalam sistem pendukung
keputusan untuk menentukan jumlah produksi (studi kasus di umkm
tahu desa sumber pakem kabupaten jember)",2023,"Peramalan merupakan tahap awal dalam proses pengambilan keputusan. Sebelum
melakukan prediksi, penting untuk memahami esensi masalah keputusan yang
dihadapi. Pabrik tahu Sumber Pakem belum mengadopsi sistem aplikasi peramalan
produksi yang terkomputerisasi, sehingga penggunaan aplikasi otomatis dapat
mempermudah proses peramalan produksi tanpa harus menghitung secara manual.
Metode Single Exponential Smoothing merupakan salah satu metode peramalan
moving average dengan pembobotan, di mana bobot diberikan berdasarkan fungsi
eksponensial. Pemulusan eksponensial adalah proses berkelanjutan yang
memperbaiki perkiraan dengan merata-ratakan penurunan nilai masa lalu dari data
berbasis waktu. Data yang digunakan dalam skripsi ini adalah data penjualan bulan
Juli 2022 sampai bulan Juli 2023. Hasil penelitian menyimpulkan dapat
memudahkan dalam pengolahan dan peramalan produksi. Hasil akurasi peramalan
produksi yang ada di pabrik tahu sumber pakem yaitu 99,2% dengan nilai error
MAPE 0,98% menggunakan alpha 0,9. Dengan peramalan produksi untuk bulan
berikutnya sebesar 127964,97. Berdasarkan hasil perkiraan ini, produksi bulan
berikutnya dapat ditentukan.",https://drive.google.com/file/d/1YROimBmdTrBo1OcdWqF1LFE5nU39m1Mc/view?usp=sharing,"single exponential smoothing, peramalan produksi, pabrik tahu sumber pakem."
bagas farasqa nauval akbar,analisis sentimen terhadap anies baswedan menggunakan metode support vector machine studi kasus media sosial twitter,2023,"Peramalan merupakan tahap awal dalam proses pengambilan keputusan. Sebelum
melakukan prediksi, penting untuk memahami esensi masalah keputusan yang
dihadapi. Pabrik tahu Sumber Pakem belum mengadopsi sistem aplikasi peramalan
produksi yang terkomputerisasi, sehingga penggunaan aplikasi otomatis dapat
mempermudah proses peramalan produksi tanpa harus menghitung secara manual.
Metode Single Exponential Smoothing merupakan salah satu metode peramalan
moving average dengan pembobotan, di mana bobot diberikan berdasarkan fungsi
eksponensial. Pemulusan eksponensial adalah proses berkelanjutan yang
memperbaiki perkiraan dengan merata-ratakan penurunan nilai masa lalu dari data
berbasis waktu. Data yang digunakan dalam skripsi ini adalah data penjualan bulan
Juli 2022 sampai bulan Juli 2023. Hasil penelitian menyimpulkan dapat
memudahkan dalam pengolahan dan peramalan produksi. Hasil akurasi peramalan
produksi yang ada di pabrik tahu sumber pakem yaitu 99,2% dengan nilai error
MAPE 0,98% menggunakan alpha 0,9. Dengan peramalan produksi untuk bulan
berikutnya sebesar 127964,97. Berdasarkan hasil perkiraan ini, produksi bulan
berikutnya dapat ditentukan.",https://drive.google.com/file/d/1FM8MU7mSdUhqYRYI1GfzFpMU8U2ls9xe/view?usp=sharing,"analisis sentimen, twitter, svm, oversampling, one against rest."
amada uzlyva almie,klasifikasi sentimen ulasan pelanggan layanan ekspedisi menggunakan algoritma naive bayes,2023,"Penggunaan jasa ekspedisi meningkat karena semakin dibutuhkan
masyarakat, namun terdapat permasalahan saat proses pengiriman seperti barang
yang cacat, barang tertukar, dan keterlambatan pengiriman. Terkait permasalahan
tersebut dalam penelitian ini akan di analisis ulasan pelanggan ekspedisi pada media
sosial twitter. Pemanfaatan media sosial twitter memiliki potensi besar dalam
menghasilkan informasi, dari banyaknya jumlah opini dari masyarakat yang
didapatkan, diperlukan analisis sentimen untuk mengklasifikasikan opini tersebut
agar memudahkan dalam menemukan kecenderungan opini dari ulasan pengguna
ekspedisi guna mengetahui seberapa besar persentase sentimen positif, dan negatif.
Penelitian ini akan membandingkan antara model klasifikasi Multinomial Naïve
Bayes dan Gaussian Naïve Bayes tanpa dan dengan menerapkan teknik balancing
untuk mengatasi imbalance data. Hasil akurasi tertinggi yang dihasilkan metode
multinomial naïve bayes tanpa balancing data sebesar 95%, sedangkan pada
random undersampling diperoleh akurasi tertinggi sebesar 95%, dan pada random
oversampling diperoleh akurasi tertinggi sebesar 97%. Pada metode gaussian naïve
bayes dihasilkan akurasi tertinggi tanpa balancing data sebesar 85%, sedangkan
pada random undersampling diperoleh akurasi tertinggi sebesar 80%, dan pada
random oversampling diperoleh akurasi tertinggi sebesar 93%. Performa akurasi
terbaik yang diperoleh antara metode multinomial naïve bayes dan gaussian naïve
bayes tanpa balancing data dan dengan menggunakan balancing data terdapat pada
hasil akurasi multinomial naïve bayes dengan menggunakan random oversampling
yaitu sebesar 97%.",https://drive.google.com/file/d/1IJc-hebD8NYpCG98FmNZ6J2ZabUrzTm5/view?usp=sharing,"analisis sentimen, twitter, multinomial naïve bayes, gaussian naïve bayes, random oversampling, random undersampling."
ulfi rizqi amaliah,"implementasi algoritma fuzzy c-means dengan algoritma particle swarm optimization untuk
pengelompokan tingkat kesejahteraan masyarakat di provinsi jawa tengah",2023,"Kesejahteraan masyarakat merupakan suatu keadaan dimana setiap warga suatu
negara selalu berada pada kondisi serba kecukupan dalam segala kebutuhannya,
baik material maupun juga spiritual. Namun, adanya perbedaan kandungan
sumber daya, perbedaan kondisi demografi serta pembangunan setiap wilayah
menyebabkan terjadinya ketimpangan. Ketimpangan menjadi tantangan bagi
setiap wilayah di Indonesia salah satunya adalah Provinsi Jawa Tengah. Salah satu
upaya yang dapat dilakukan untuk mengatasi ketimpangan adalah dengan
melakukan pengelompokan. Proses pengelompokan dapat menggunakan metode
clustering. Salah satu algoritma clustering adalah Fuzzy C-Means tetapi sering
sensitif terhadap pusat cluster awal sehingga mudah terjebak pada optimum lokal.
Terdapat beberapa algoritma yang dapat digunakan untuk mengatasi masalah
tersebut, Salah satunya adalah Particle Swarm Optimization. Proses
pengelompokan dilakukan dengan menggunakan 35 data pada tahun 2019 serta
dilakukan pencarian cluster optimal. Penelitian menghasilkan cluster optimal pada
2 cluster. Pada cluster 1 terdapat 14 kabupaten/ kota sedangkan pada cluster 2
terdapat 21 anggota.",https://drive.google.com/file/d/1ooBYHw2n7_YD3bJ0sZyFdOp-MD50HRgh/view?usp=sharing,"kesejahteraan, fuzzy c-means, particle swarm optimization,
clustering, silhouettecoefficient."
rosalia indra amiranda,klasifikasi penyakit diabetes melitus menggunakan metode fuzzy k-nearest neighbor in every class,2023,"Para peneliti memusatkan upaya mereka untuk mendiagnosis diabetes melitus dan menghentikan
atau menekan munculnya komplikasi mengingat keadaan ilmu kedokteran saat ini. Hal ini karena
banyak orang mengalami kesulitan sebelum mendapatkan diagnosis diabetes melitus. Jika
didiagnosis pada tahap awal, diabetes dapat diobati. Data mining adalah salah satu teknik untuk
deteksi. Penelitian ini menggunakan pendekatan Fuzzy K-Nearest Neighbor in Every Class untuk
klasifikasi. Data klinis individu yang diidentifikasi secara positif dan negatif dimasukkan dalam
kumpulan data diabetes melitus yang dikumpulkan dari repositori Kaggle yang dibuat oleh SALIH
ACUR. Pengujian ini dijalankan dengan 600 data dan 8 karakteristik, dan hasilnya menunjukkan
bahwa untuk setiap kelas, Fuzzy K-Nearest Neighbor memiliki nilai akurasi 92%, precision 92%
dan recall 95%.",https://drive.google.com/file/d/1xivV9EqAumuaJnILQ2c7Nv0kHTvlVsan/view?usp=sharing,"diabetes melitus, klasifikasi, k-nearest neighbor, fuzzy k-nearest neighbor,
fuzzy k-nearest neighbor in every class."
iftitah sita devi andani,"perbandingan peramalan jumlah penjualan produk kopi menggunakan metode regresi linear dan single
moving average",2023,"Di Kabupaten Jember terjadi tren konsumsi kopi cukup meningkat dalam
waktu satu dekade terakhir dengan rata-rata naik 8-10% pertahun, dimana secara
nasional perkapita atau perorang itu mengonsumsi 1,3 kilogram kopi pertahun.
Meningkatnya permintaan kopi ditunjukkan dengan adanya trend industri kopi
maupun kedai kopi yang bermunculan. Salah satu industri kopi di Kabupaten
Jember adalah PT Rifki Kopi Sejahtera. PT Rifki Kopi Sejahtera mengalami
kendala dalam menentukan jumlah bahan baku yang harus disediakan untuk
memenuhi permintaan kopi dari pembeli, sehingga stok bahan baku tidak optimal
mengingat karakteristik tanaman kopi yang hanya dipanen satu kali dalam setahun.
Dalam penelitian ini bertujuan untuk membuat peramalan jumlah penjualan guna
untuk memprediksi kebutuhan bahan mentah yang dibutuhkan. Metode Regresi
Linier Sederhana dan Single Moving Average digunakan dalam meramalkan jumlah
penjualan produk. Dari kedua metode tersebut dianalis tingkat akurasi yang paling
tinggi dengan menggunakan algoritma MSE, MAE dan MAPE. Hasil dari analisis
kinerja permalan dengan menggunakan metode Regresi Linier menghasilkan nilai
rata – rata akurasi MSE sebesar 6,398571429 MAE sebesar 1,921428571 dan
MAPE sebesar 36,98857143%. Ujicoba dengan menggunakan metode kedua Single
Moving Average menghasilkan nilai rata – rata akurasi MSE sebesar 2,391428571
MAE sebesar 1,228571429 dan MAPE sebesar 21,03714286%. Dari besar nilai
MAPE kedua metode masuk dalam kategori Cukup Baik. Pada ujicoba ini metode
Single Moving Average memiliki nilai akurasi yang lebih tinggi dibandingkan
dengan metode Regresi Linier Sederhana.",https://drive.google.com/file/d/1foOD1NxdZrEzqsIoJcKJUl-dgXk1wq-1/view?usp=sharing,"peramalan, regresi linier sederhana, single moving average, kopi."
